Test,Time
533,3883200
534,4028700
535,3997600
536,3894100
537,3851800
538,4265600
539,4284700
540,4720300
541,4181200
542,3821000
543,3892200
544,4164000
545,4060200
546,4235500
547,4237600
548,4134700
549,4071800
550,4375500
551,4031800
552,4435300
553,3846700
554,4093600
555,3910100
556,3992200
557,3865800
558,4023400
559,3912200
560,3993400
561,3871100
562,3830900
563,5546700
564,4102900
565,3829200
566,3833200
567,3826100
568,3890400
569,3843800
570,4167900
571,4021400
572,3826600
573,4038400
574,3835500
575,3815600
576,3925900
577,3818800
578,3903700
579,3847000
580,3843000
581,3817700
582,3817100
583,3823000
584,3831400
585,3829400
586,3962600
587,4152400
588,3872300
589,3802300
590,3963500
591,3993200
592,4149800
593,3910200
594,3801300
595,3808200
596,4268400
597,3798700
598,3822600
599,3986600
600,4150200
